posID,TAG,tag,TIME,time,X,Y,NBS,VARX,VARY,COVXY,X_raw,Y_raw
1,31001003255,3255,1693173959.189,2023-08-27T22:05:59.189Z,649576.876627453,5903419.54124974,3,297.725646972656,2114.50830078125,580.140930175781,649620.428092084,5903470.87302911
2,31001003255,3255,1693174839.145,2023-08-27T22:20:39.145Z,649576.876627453,5903419.54124974,3,131.660705566406,1122.69860839844,171.135437011719,649576.876627453,5903414.45448673
3,31001003255,3255,1693174863.145,2023-08-27T22:21:03.145Z,649576.876627453,5903419.54124974,3,71.2225341796875,605.909851074219,79.5729522705078,649584.756863605,5903419.54124974
4,31001003255,3255,1693175095.138,2023-08-27T22:24:55.138Z,649572.497158203,5903419.54124974,3,69.9837417602539,605.710205078125,87.2003936767578,649572.497158203,5903378.39546291
5,31001003255,3255,1693175207.136,2023-08-27T22:26:47.136Z,649570.115649174,5903419.54124974,3,197.190963745117,1665.03625488281,313.051208496094,649570.115649174,5903424.48783183
6,31001003255,3255,1693175223.135,2023-08-27T22:27:03.135Z,649561.843530711,5903414.97871887,3,91.5001525878906,871.597717285156,61.0786781311035,649561.843530711,5903420.52054298
7,31001003255,3255,1693175231.135,2023-08-27T22:27:11.135Z,649553.622408916,5903414.97871887,3,168.325531005859,1479.49682617188,238.611145019531,649553.622408916,5903414.97871887
8,31001003255,3255,1693177111.051,2023-08-27T22:58:31.051Z,649546.467362053,5903372.90626639,3,189.341430664063,1687.501953125,327.815338134766,649530.555804646,5903338.49105734
9,31001003255,3255,1693177119.05,2023-08-27T22:58:39.050Z,649546.467362053,5903372.90626639,3,167.557571411133,1451.240234375,299.461395263672,649538.55064786,5903372.90626639
10,31001003255,3255,1693178063.001,2023-08-27T23:14:23.001Z,649546.467362053,5903351.14699635,3,132.947357177734,1206.84069824219,139.357833862305,649546.467362053,5903351.14699635
11,31001003255,3255,1693178638.967,2023-08-27T23:23:58.967Z,649550.090428612,5903351.14699635,3,172.244323730469,1512.63745117188,248.955825805664,649550.090428612,5903399.13148058
12,31001003255,3255,1693178862.957,2023-08-27T23:27:42.957Z,649897.376541853,5903351.14699635,3,1048.11791992188,4143.20654296875,-1516.12683105469,650029.657240029,5903213.93570717
13,31001003255,3255,1693178878.959,2023-08-27T23:27:58.959Z,649998.890727797,5903399.13148058,3,203.96940612793,810.363037109375,305.396789550781,649998.890727797,5903293.68344217
14,31001003255,3255,1693179030.956,2023-08-27T23:30:30.956Z,650029.657240029,5903460.57226541,3,1004.77117919922,4920.2138671875,-1568.25305175781,649897.376541853,5903486.53905813
17,31001003255,3255,1693183278.761,2023-08-28T00:41:18.761Z,650171.255190317,5903486.53905813,9,2.66360330581665,2.32209730148315,-0.773605525493622,650171.255190317,5903460.57226541
18,31001003255,3255,1693183286.762,2023-08-28T00:41:26.762Z,650304.334743583,5903504.49011752,9,3.63033723831177,5.80081081390381,-2.18527889251709,650304.334743583,5903504.49011752
19,31001003255,3255,1693183294.763,2023-08-28T00:41:34.763Z,650436.077643109,5903559.92620858,10,1.24996685981751,1.68827664852142,-0.334640145301819,650436.077643109,5903559.92620858
20,31001003255,3255,1693183302.763,2023-08-28T00:41:42.763Z,650572.378208173,5903619.52666688,10,1.3640193939209,2.38735795021057,-0.688459515571594,650572.378208173,5903619.52666688
21,31001003255,3255,1693183310.763,2023-08-28T00:41:50.763Z,650726.565481357,5903656.0870769,10,2.01203107833862,2.2274866104126,-0.925528287887573,650726.565481357,5903656.0870769
22,31001003255,3255,1693183318.763,2023-08-28T00:41:58.763Z,650866.909531966,5903702.86620126,6,5.60739898681641,5.82808208465576,-2.35369396209717,650866.909531966,5903702.86620126
23,31001003255,3255,1693183326.763,2023-08-28T00:42:06.763Z,650990.808233398,5903757.21967362,11,0.941799104213715,2.05913257598877,-0.20054192841053,650990.808233398,5903757.21967362
24,31001003255,3255,1693183334.762,2023-08-28T00:42:14.762Z,651126.47436035,5903811.62470422,13,0.92498505115509,2.66823506355286,-0.381836414337158,651126.47436035,5903811.62470422
25,31001003255,3255,1693183342.761,2023-08-28T00:42:22.761Z,651276.876361302,5903844.32811972,11,1.29326570034027,3.55182838439941,-0.662359714508057,651276.876361302,5903844.32811972
26,31001003255,3255,1693183350.76,2023-08-28T00:42:30.760Z,651421.927664606,5903859.20792086,8,1.5687530040741,4.96753978729248,-1.1796886920929,651421.927664606,5903859.20792086
27,31001003255,3255,1693183358.76,2023-08-28T00:42:38.760Z,651546.56660633,5903882.091146,6,2.80183267593384,9.70546245574951,-0.205733150243759,651546.56660633,5903885.22737892
28,31001003255,3255,1693183366.761,2023-08-28T00:42:46.761Z,651660.437396062,5903885.22737892,10,1.40787422657013,1.69421339035034,-0.52827388048172,651660.437396062,5903917.24354985
29,31001003255,3255,1693183374.761,2023-08-28T00:42:54.761Z,651764.377619278,5903885.22737892,6,2.73634576797485,10.115216255188,-0.440124213695526,651773.13975866,5903882.091146
30,31001003255,3255,1693183390.759,2023-08-28T00:43:10.759Z,651764.862085318,5903885.22737892,3,21.4909172058105,136.532119750977,11.5350160598755,651764.862085318,5903887.29758279
31,31001003255,3255,1693183398.759,2023-08-28T00:43:18.759Z,651767.896173294,5903883.54493447,3,24.6739597320557,160.978713989258,5.53472518920898,651764.377619278,5903886.00375012
32,31001003255,3255,1693183406.758,2023-08-28T00:43:26.758Z,651767.896173294,5903883.54493447,3,41.687385559082,284.136016845703,30.2693176269531,651767.896173294,5903870.75764837
33,31001003255,3255,1693183414.757,2023-08-28T00:43:34.757Z,651768.773115677,5903882.66705223,3,18.7115230560303,112.532096862793,8.57134819030762,651770.001602376,5903877.77278
34,31001003255,3255,1693183422.756,2023-08-28T00:43:42.756Z,651770.001602376,5903883.54493447,3,20.9342479705811,129.276702880859,11.6162528991699,651774.92039508,5903883.54493447
35,31001003255,3255,1693183430.755,2023-08-28T00:43:50.755Z,651770.001602376,5903883.54493447,3,24.2549419403076,153.819778442383,21.6751022338867,651768.773115677,5903886.13142868
36,31001003255,3255,1693183438.755,2023-08-28T00:43:58.755Z,651770.730916401,5903882.66705223,3,50.5738525390625,321.1572265625,67.9730224609375,651770.730916401,5903882.66705223
37,31001003255,3255,1693183446.755,2023-08-28T00:44:06.755Z,651770.730916401,5903883.54493447,3,50.6351089477539,310.829071044922,18.1430015563965,651768.418178424,5903876.57738608
38,31001003255,3255,1693183454.754,2023-08-28T00:44:14.754Z,651770.730916401,5903886.13142868,3,61.8257637023926,413.482025146484,-14.4272146224976,651777.190464467,5903903.78924662
