posID,TAG,tag,TIME,time,X,Y,NBS,VARX,VARY,COVXY,X_raw,Y_raw
1,31001003268,3268,1693173958.941,2023-08-27T22:05:58.941Z,651624.071233194,5903502.37141286,3,42.9417877197266,289.452453613281,92.6372985839844,651614.687998867,5903481.25107496
2,31001003268,3268,1693174198.928,2023-08-27T22:09:58.928Z,651624.071233194,5903502.37141286,3,36.5429191589356,242.094329833984,60.6645088195801,651629.447236586,5903507.52167827
3,31001003268,3268,1693174230.926,2023-08-27T22:10:30.926Z,651624.071233194,5903502.37141286,3,38.0268974304199,244.580413818359,76.3880233764649,651624.071233194,5903510.76694752
4,31001003268,3268,1693174494.914,2023-08-27T22:14:54.914Z,651624.071233194,5903502.37141286,3,40.5605163574219,256.580718994141,77.7348556518555,651628.026763234,5903502.37141286
5,31001003268,3268,1693174518.913,2023-08-27T22:15:18.913Z,651624.071233194,5903502.37141286,3,32.7120170593262,207.710586547852,63.637451171875,651616.623235487,5903476.25559963
6,31001003268,3268,1693174534.912,2023-08-27T22:15:34.912Z,651616.623235487,5903507.52167827,3,22.1853256225586,142.040161132813,39.5460243225098,651627.557748564,5903510.8866824
7,31001003268,3268,1693174574.911,2023-08-27T22:16:14.911Z,651607.46252643,5903504.42452886,3,47.4237823486328,305.520263671875,98.2424240112305,651605.514197637,5903445.30077639
8,31001003268,3268,1693174894.903,2023-08-27T22:21:34.903Z,651607.46252643,5903504.42452886,3,421.6181640625,4297.53466796875,-1305.40942382813,651607.46252643,5903535.38987916
9,31001003268,3268,1693174910.901,2023-08-27T22:21:50.901Z,651607.46252643,5903504.42452886,3,494.974395751953,4753.837890625,-1456.47827148438,651592.209183808,5903575.60791749
10,31001003268,3268,1693174926.901,2023-08-27T22:22:06.901Z,651607.46252643,5903504.42452886,3,52.9935989379883,345.803009033203,87.8558349609375,651607.373486246,5903462.95537265
11,31001003268,3268,1693174950.9,2023-08-27T22:22:30.900Z,651610.959949048,5903504.42452886,3,60.2635116577149,367.506561279297,73.4398574829102,651610.959949048,5903504.42452886
12,31001003268,3268,1693174958.899,2023-08-27T22:22:38.899Z,651611.817236527,5903504.42452886,4,13.3573970794678,85.7683410644531,27.2958717346191,651618.567123476,5903493.23925035
13,31001003268,3268,1693174966.898,2023-08-27T22:22:46.898Z,651618.567123476,5903504.42452886,3,27.6144886016846,164.302215576172,36.4443473815918,651623.711180399,5903517.51793265
14,31001003268,3268,1693174974.897,2023-08-27T22:22:54.897Z,651618.567123476,5903506.84700557,3,47.8889350891113,304.435180664063,83.2845458984375,651611.817236527,5903506.84700557
15,31001003268,3268,1693174990.897,2023-08-27T22:23:10.897Z,651620.668046758,5903506.84700557,3,29.2427234649658,178.686767578125,43.8317337036133,651620.668046758,5903494.85338071
16,31001003268,3268,1693175006.897,2023-08-27T22:23:26.897Z,651620.668046758,5903506.84700557,3,47.3462562561035,298.001098632813,77.8364181518555,651633.008823231,5903529.8414541
17,31001003268,3268,1693175022.896,2023-08-27T22:23:42.896Z,651618.351915468,5903506.97905051,3,32.486930847168,212.388061523438,53.9828109741211,651613.129364951,5903505.82147239
18,31001003268,3268,1693175038.895,2023-08-27T22:23:58.895Z,651618.351915468,5903511.39040018,3,47.3895378112793,316.988891601563,89.7096862792969,651618.351915468,5903515.92913464
19,31001003268,3268,1693175110.895,2023-08-27T22:25:10.895Z,651620.386726449,5903511.39040018,3,41.5778999328613,269.269409179688,89.1009368896484,651621.276059643,5903506.97905051
20,31001003268,3268,1693175150.894,2023-08-27T22:25:50.894Z,651620.386726449,5903511.39040018,3,34.604923248291,231.672897338867,76.9326400756836,651617.603573256,5903511.39040018
21,31001003268,3268,1693175222.893,2023-08-27T22:27:02.893Z,651621.276059643,5903511.39040018,3,28.8167457580566,188.496856689453,58.6842422485352,651620.386726449,5903521.73791893
22,31001003268,3268,1693175230.892,2023-08-27T22:27:10.892Z,651623.762294251,5903515.37273237,3,25.4904232025147,155.353820800781,42.0048828125,651623.762294251,5903517.27878914
24,31001003268,3268,1693175294.893,2023-08-27T22:28:14.893Z,651624.995038563,5903515.37273237,3,40.9495124816895,260.441162109375,87.4567794799805,651628.653546181,5903511.03672119
25,31001003268,3268,1693175326.891,2023-08-27T22:28:46.891Z,651628.653546181,5903515.37273237,3,29.4649600982666,177.560501098633,51.4348526000977,651634.851036637,5903510.2437896
26,31001003268,3268,1693175350.891,2023-08-27T22:29:10.891Z,651634.373796968,5903515.37273237,3,30.4464664459229,194.815353393555,49.6435203552246,651624.995038563,5903515.37273237
27,31001003268,3268,1693175366.891,2023-08-27T22:29:26.891Z,651634.373796968,5903515.37273237,3,45.1794624328613,286.749114990234,90.6743698120117,651634.373796968,5903525.52627487
28,31001003268,3268,1693175390.891,2023-08-27T22:29:50.891Z,651634.373796968,5903515.4021991,3,44.2443046569824,284.182250976563,56.4451942443848,651635.511073499,5903525.92505477
29,31001003268,3268,1693175686.879,2023-08-27T22:34:46.879Z,651634.373796968,5903515.4021991,3,57.2515029907227,379.562286376953,86.9403991699219,651626.656774703,5903507.34246279
30,31001003268,3268,1693175710.878,2023-08-27T22:35:10.878Z,651634.373796968,5903515.4021991,3,52.5523376464844,332.574066162109,78.3570556640625,651636.429793199,5903515.4021991
31,31001003268,3268,1693175718.878,2023-08-27T22:35:18.878Z,651634.373796968,5903515.4021991,3,27.9265842437744,177.50993347168,46.0824813842774,651613.595323811,5903477.29988415
32,31001003268,3268,1693176294.846,2023-08-27T22:44:54.846Z,651636.429793199,5903520.49834902,3,51.5557746887207,278.654754638672,77.6865539550781,651630.158482441,5903537.70768928
33,31001003268,3268,1693176534.834,2023-08-27T22:48:54.834Z,651642.662628095,5903520.49834902,3,67.057487487793,363.387329101563,69.0187759399414,651646.257620958,5903549.43157996
34,31001003268,3268,1693176734.826,2023-08-27T22:52:14.826Z,651642.662628095,5903526.18613569,3,40.6633110046387,240.434585571289,69.4166107177734,651642.662628095,5903520.49834902
35,31001003268,3268,1693176766.826,2023-08-27T22:52:46.826Z,651642.708911137,5903526.18613569,3,378.585632324219,535.571594238281,-176.850173950195,651668.133898933,5903510.36922412
36,31001003268,3268,1693176822.826,2023-08-27T22:53:42.826Z,651646.257620958,5903526.18613569,3,29.2347106933594,186.400772094727,49.9066276550293,651638.681066021,5903526.18613569
37,31001003268,3268,1693176838.825,2023-08-27T22:53:58.825Z,651650.319840168,5903541.42953354,3,49.395679473877,318.268737792969,98.8476486206055,651654.060231463,5903565.88749949
38,31001003268,3268,1693176870.825,2023-08-27T22:54:30.825Z,651650.319840168,5903551.80466895,3,41.5844573974609,271.758636474609,72.453987121582,651642.708911137,5903541.42953354
