posID,TAG,tag,TIME,time,X,Y,NBS,VARX,VARY,COVXY,X_raw,Y_raw
1,31001003233,3233,1693173622,2023-08-27T22:00:22Z,649420.412389398,5903852.14506136,3,219.712417602539,2142.7685546875,554.324340820313,649425.999406303,5903852.14506136
2,31001003233,3233,1693173654,2023-08-27T22:00:54Z,649420.412389398,5903852.14506136,3,165.9873046875,1711.49194335938,382.378997802734,649407.904789362,5903840.51560521
3,31001003233,3233,1693173685.998,2023-08-27T22:01:25.998Z,649420.412389398,5903852.14506136,3,161.227508544922,1706.01831054688,327.260223388672,649413.899478244,5903893.28624351
4,31001003233,3233,1693173693.998,2023-08-27T22:01:33.998Z,649420.412389398,5903880.8396867,3,366.041625976563,3455.1513671875,957.759826660156,649443.978367404,5903913.60708752
5,31001003233,3233,1693173709.998,2023-08-27T22:01:49.998Z,649422.331776671,5903880.8396867,3,401.713256835938,4027.24194335937,1000.55932617188,649420.412389398,5903830.76435931
6,31001003233,3233,1693173733.998,2023-08-27T22:02:13.998Z,649422.331776671,5903880.8396867,3,277.457580566406,2743.25830078125,721.169067382813,649422.472640579,5903880.8396867
8,31001003233,3233,1693173805.994,2023-08-27T22:03:25.994Z,649422.331776671,5903893.28624351,3,371.005615234375,3763.87573242188,878.193115234375,649431.495443264,5903931.933782
9,31001003233,3233,1693173813.994,2023-08-27T22:03:33.994Z,649422.331776671,5903910.99320915,3,216.039733886719,2307.41723632813,531.060974121094,649389.872398804,5903850.18291927
10,31001003233,3233,1693173821.994,2023-08-27T22:03:41.994Z,649414.830267267,5903916.50991015,3,326.434661865234,3170.09887695313,916.314514160156,649422.331776671,5903942.06622192
11,31001003233,3233,1693173829.994,2023-08-27T22:03:49.994Z,649410.958063317,5903916.50991015,3,190.502227783203,1906.87976074219,500.323150634766,649414.830267267,5903910.99320915
13,31001003233,3233,1693173869.992,2023-08-27T22:04:29.992Z,649410.958063317,5903916.50991015,3,204.5869140625,2162.30737304688,477.176849365234,649410.958063317,5903941.05763384
14,31001003233,3233,1693174085.98,2023-08-27T22:08:05.980Z,649405.238556866,5903916.50991015,3,235.064102172852,2411.29418945313,626.566101074219,649405.238556866,5903916.50991015
15,31001003233,3233,1693174101.98,2023-08-27T22:08:21.980Z,649397.718675485,5903919.23215643,3,247.674270629883,2753.26147460938,549.482482910156,649381.70043912,5903890.50979023
