posID,TAG,tag,TIME,time,X,Y,NBS,VARX,VARY,COVXY,X_raw,Y_raw
1,31001003265,3265,1693210123.559,2023-08-28T08:08:43.559Z,646547.86762605,5913285.65056814,9,10.5698289871216,1.99496150016785,-2.939129114151,646547.86762605,5913285.65056814
2,31001003265,3265,1693210131.558,2023-08-28T08:08:51.558Z,646547.86762605,5913183.66514174,10,14.7344579696655,4.3909649848938,-5.14157342910767,646510.343878234,5913183.66514174
3,31001003265,3265,1693210139.558,2023-08-28T08:08:59.558Z,646618.630368123,5913045.14476432,3,206.73844909668,44.550666809082,-91.9622573852539,646618.630368123,5913045.14476432
4,31001003265,3265,1693210147.558,2023-08-28T08:09:07.558Z,646719.332753962,5912983.10745513,10,7.57496118545532,3.62308931350708,-0.945820093154907,646719.332753962,5912983.10745513
5,31001003265,3265,1693210155.558,2023-08-28T08:09:15.558Z,646956.459134876,5912911.79303797,3,454.544464111328,159.599334716797,-251.084457397461,646956.459134876,5912911.79303797
6,31001003265,3265,1693210163.558,2023-08-28T08:09:23.558Z,647143.015782517,5912875.02534042,6,21.764347076416,6.04955244064331,-7.49361038208008,647143.015782517,5912875.02534042
7,31001003265,3265,1693210179.558,2023-08-28T08:09:39.558Z,647401.848298852,5912833.40419627,5,140.986572265625,14.9832410812378,-18.8603820800781,647401.848298852,5912833.40419627
8,31001003265,3265,1693211179.507,2023-08-28T08:26:19.507Z,648507.4740878,5912820.42423829,10,45.2006645202637,216.660278320313,82.628288269043,648507.4740878,5912820.42423829
9,31001003265,3265,1693211187.507,2023-08-28T08:26:27.507Z,648633.115590811,5912737.77709365,10,26.9048919677734,151.319671630859,49.8936195373535,648633.115590811,5912731.59228188
10,31001003265,3265,1693211195.508,2023-08-28T08:26:35.508Z,648776.597136501,5912731.59228188,11,42.2878875732422,11.4471645355225,14.7026081085205,648776.597136501,5912737.77709365
12,31001003265,3265,1693211211.508,2023-08-28T08:26:51.508Z,649072.106626196,5912670.72888034,11,22.1694145202637,21.4542980194092,11.5081148147583,649072.106626196,5912670.72888034
13,31001003265,3265,1693211219.508,2023-08-28T08:26:59.508Z,649072.106626196,5912625.45334362,8,94.2874450683594,25.126485824585,38.8671417236328,649205.889400488,5912625.45334362
14,31001003265,3265,1693211227.507,2023-08-28T08:27:07.507Z,649205.889400488,5912618.28431091,10,21.130916595459,6.59974908828735,8.93817043304443,649349.136349814,5912618.28431091
15,31001003265,3265,1693232434.687,2023-08-28T14:20:34.687Z,649245.256501052,5912147.70428511,3,183.011917114258,1781.04968261719,296.269775390625,646920.16255333,5900554.5585074
