posID,TAG,tag,TIME,time,X,Y,NBS,VARX,VARY,COVXY,X_raw,Y_raw
1,31001003204,3204,1693174042.909,2023-08-27T22:07:22.909Z,651596.07258694,5904490.96755751,3,201.99235534668,405.055328369141,232.714477539063,651619.626579965,5904505.72064254
2,31001003204,3204,1693174442.896,2023-08-27T22:14:02.896Z,651596.07258694,5904490.96755751,3,87.1444473266602,29.7066745758057,28.2964153289795,651596.07258694,5904480.10077887
3,31001003204,3204,1693174450.896,2023-08-27T22:14:10.896Z,651596.07258694,5904490.96755751,3,68.6938781738281,68.3711090087891,4.36031532287598,651597.510972434,5904490.96755751
4,31001003204,3204,1693174458.895,2023-08-27T22:14:18.895Z,651595.09814439,5904490.96755751,3,75.4370269775391,22.2050895690918,23.3859519958496,651593.212270765,5904477.66765303
5,31001003204,3204,1693174466.895,2023-08-27T22:14:26.895Z,651595.09814439,5904484.77456232,3,66.9150543212891,23.2062034606934,21.5627670288086,651592.995225244,5904491.64327271
6,31001003204,3204,1693174474.894,2023-08-27T22:14:34.894Z,651593.344450726,5904484.77456232,3,115.226608276367,29.2881698608398,35.3262443542481,651595.09814439,5904477.84879901
7,31001003204,3204,1693174482.894,2023-08-27T22:14:42.894Z,651593.344450726,5904484.77456232,3,132.187164306641,50.9176597595215,44.5183181762695,651620.105540311,5904496.12344692
8,31001003204,3204,1693174490.893,2023-08-27T22:14:50.893Z,651593.344450726,5904484.77456232,3,122.616195678711,31.7050933837891,38.5080680847168,651593.344450726,5904484.77456232
9,31001003204,3204,1693174498.893,2023-08-27T22:14:58.893Z,651593.344450726,5904484.77456232,3,59.4627380371094,20.3898010253906,18.8232517242432,651585.903170288,5904481.85641796
10,31001003204,3204,1693174522.892,2023-08-27T22:15:22.892Z,651593.344450726,5904484.77456232,3,404.975708007813,112.872085571289,172.511413574219,651593.190516995,5904498.98466432
11,31001003204,3204,1693174530.892,2023-08-27T22:15:30.892Z,651593.344450726,5904484.77456232,3,576.373291015625,111.449371337891,211.038558959961,651594.45662381,5904481.02924033
12,31001003204,3204,1693174538.892,2023-08-27T22:15:38.892Z,651593.190516995,5904490.86905448,3,743.304565429688,197.544677734375,285.179931640625,651594.193051185,5904490.86905448
13,31001003204,3204,1693174546.891,2023-08-27T22:15:46.891Z,651593.190516995,5904490.86905448,3,838.448059082031,163.872085571289,303.385345458984,651583.644617802,5904473.77493116
14,31001003204,3204,1693174554.891,2023-08-27T22:15:54.891Z,651589.974033885,5904490.86905448,3,653.957580566406,153.803253173828,262.103790283203,651584.411546217,5904498.2388478
15,31001003204,3204,1693174570.891,2023-08-27T22:16:10.891Z,651589.974033885,5904490.86905448,3,667.902282714844,177.607147216797,282.329528808594,651617.940641049,5904503.58304381
16,31001003204,3204,1693174586.89,2023-08-27T22:16:26.890Z,651589.974033885,5904490.86905448,3,686.300170898438,197.921096801758,271.413848876953,651589.974033885,5904479.17919477
17,31001003204,3204,1693174594.89,2023-08-27T22:16:34.890Z,651589.974033885,5904491.66008059,3,662.900939941406,182.011093139648,251.518249511719,651569.72078025,5904479.17683382
18,31001003204,3204,1693174618.889,2023-08-27T22:16:58.889Z,651604.885920707,5904491.66008059,3,876.069152832031,245.262176513672,354.354248046875,651622.808272183,5904500.83858354
19,31001003204,3204,1693174642.889,2023-08-27T22:17:22.889Z,651604.885920707,5904491.66008059,3,779.577026367188,159.688980102539,298.235260009766,651604.885920707,5904491.66008059
20,31001003204,3204,1693174658.888,2023-08-27T22:17:38.888Z,651596.741074065,5904491.66008059,3,835.003234863281,147.260391235352,297.902465820313,651565.730955768,5904489.91830361
21,31001003204,3204,1693174666.888,2023-08-27T22:17:46.888Z,651596.741074065,5904491.66008059,3,475.935546875,125.130958557129,202.742309570313,651614.396662997,5904516.86173843
