posID,TAG,tag,TIME,time,X,Y,NBS,VARX,VARY,COVXY,X_raw,Y_raw
1,31001003227,3227,1693173605.463,2023-08-27T22:00:05.463Z,652414.497861051,5904475.30559629,3,168.090270996094,1954.42590332031,-417.968475341797,652414.497861051,5904486.30147174
2,31001003227,3227,1693173613.463,2023-08-27T22:00:13.463Z,652416.822135543,5904466.9988267,3,105.382637023926,1344.74060058594,-276.163757324219,652416.822135543,5904466.9988267
3,31001003227,3227,1693173621.463,2023-08-27T22:00:21.463Z,652420.981078686,5904462.84544191,3,138.531753540039,1120.39562988281,-294.608123779297,652421.897262387,5904462.84544191
4,31001003227,3227,1693173629.462,2023-08-27T22:00:29.462Z,652420.981078686,5904461.88765967,4,24.2560157775879,99.8448486328125,-16.9930000305176,652422.136662998,5904461.88765967
5,31001003227,3227,1693173637.462,2023-08-27T22:00:37.462Z,652420.981078686,5904461.88765967,4,22.067008972168,125.565406799316,-23.0019588470459,652420.981078686,5904445.55155935
6,31001003227,3227,1693173645.462,2023-08-27T22:00:45.462Z,652420.981078686,5904461.88765967,4,59.9453964233399,154.900741577148,-23.7873840332031,652427.226178659,5904454.13797748
7,31001003227,3227,1693173653.462,2023-08-27T22:00:53.462Z,652417.641329798,5904461.88765967,3,71.3140182495117,1095.31750488281,-205.788208007813,652417.641329798,5904495.84611706
8,31001003227,3227,1693173669.463,2023-08-27T22:01:09.463Z,652416.672825736,5904468.45283631,4,65.6137847900391,105.744834899902,-20.4062786102295,652416.672825736,5904452.71906349
9,31001003227,3227,1693173677.463,2023-08-27T22:01:17.463Z,652413.097175387,5904468.45283631,4,21.2942771911621,78.9288024902344,-14.7783060073853,652412.524112676,5904468.45283631
10,31001003227,3227,1693173685.463,2023-08-27T22:01:25.463Z,652413.097175387,5904468.45283631,3,142.36882019043,1611.19555664063,-343.348815917969,652413.097175387,5904475.59752782
11,31001003227,3227,1693173693.462,2023-08-27T22:01:33.462Z,652413.097175387,5904468.45283631,3,297.343139648438,1624.26867675781,-530.173583984375,652406.148936574,5904462.42927113
12,31001003227,3227,1693173701.462,2023-08-27T22:01:41.462Z,652413.097175387,5904468.45283631,3,152.65576171875,1968.00573730469,-398.208251953125,652408.139429094,5904480.90067842
13,31001003227,3227,1693173717.46,2023-08-27T22:01:57.460Z,652419.813515964,5904462.42927113,3,208.590301513672,2388.12329101563,-472.755615234375,652419.813515964,5904462.13745052
14,31001003227,3227,1693173941.444,2023-08-27T22:05:41.444Z,652429.813001669,5904462.13745052,3,149.914260864258,1725.94665527344,-228.303527832031,652429.813001669,5904493.43750211
15,31001003227,3227,1693173949.443,2023-08-27T22:05:49.443Z,652430.655323838,5904459.01809968,3,162.991180419922,1864.56201171875,-308.798156738281,652430.655323838,5904459.01809968
16,31001003227,3227,1693173957.443,2023-08-27T22:05:57.443Z,652438.915037678,5904452.19927962,3,190.099639892578,1569.81030273438,-299.441223144531,652446.578575656,5904452.19927962
17,31001003227,3227,1693173973.442,2023-08-27T22:06:13.442Z,652438.915037678,5904452.19927962,3,127.320068359375,1865.50268554688,-366.554748535156,652438.915037678,5904428.51538594
18,31001003227,3227,1693173981.441,2023-08-27T22:06:21.441Z,652438.915037678,5904452.19927962,3,234.977508544922,2068.24853515625,-498.665435791016,652444.772162577,5904410.21383129
19,31001003227,3227,1693173997.44,2023-08-27T22:06:37.440Z,652429.710365167,5904452.19927962,3,161.81787109375,1941.79162597656,-306.409545898438,652418.704688191,5904467.51519085
