posID,TAG,tag,TIME,time,X,Y,NBS,VARX,VARY,COVXY,X_raw,Y_raw
1,31001003206,3206,1693176283.402,2023-08-27T22:44:43.402Z,650021.804222967,5903168.79715475,3,389.533172607422,1512.064453125,-576.764404296875,650029.138919765,5903219.97595445
2,31001003206,3206,1693179635.263,2023-08-27T23:40:35.263Z,650021.804222967,5903168.79715475,3,1183.453125,2686.48315429688,1632.30822753906,650014.734422836,5903155.68024382
4,31001003206,3206,1693184787.05,2023-08-28T01:06:27.050Z,650021.804222967,5903168.79715475,3,546.169555664063,1958.37231445313,849.330078125,649949.403824786,5903067.07303364
5,31001003206,3206,1693184811.049,2023-08-28T01:06:51.049Z,650021.804222967,5903155.68024382,3,838.229919433594,1643.09753417969,1127.00476074219,650021.804222967,5903208.61749992
6,31001003206,3206,1693186722.955,2023-08-28T01:38:42.955Z,650049.928504209,5903132.54461658,4,99.8963928222656,281.595611572266,47.4491386413574,650049.928504209,5903168.79715475
7,31001003206,3206,1693186786.955,2023-08-28T01:39:46.955Z,650057.889624993,5903132.54461658,3,1298.75817871094,2223.90966796875,1618.26782226563,650060.966976018,5903130.37269266
8,31001003206,3206,1693186794.955,2023-08-28T01:39:54.955Z,650057.889624993,5903130.37269266,3,514.38525390625,1061.85412597656,657.601196289063,650062.440295221,5903132.54461658
9,31001003206,3206,1693186802.954,2023-08-28T01:40:02.954Z,650057.889624993,5903112.19570814,4,114.494071960449,399.569488525391,47.7245712280273,650057.889624993,5903112.19570814
11,31001003206,3206,1693193970.651,2023-08-28T03:39:30.651Z,650057.889624993,5903094.43981662,3,907.498962402344,2946.39721679688,-1219.57409667969,650029.387484913,5903069.38892198
12,31001003206,3206,1693193986.649,2023-08-28T03:39:46.649Z,650057.889624993,5903071.55577476,3,1139.41674804688,3906.02612304688,-1781.87451171875,650095.257984059,5903014.75743246
13,31001003206,3206,1693194618.637,2023-08-28T03:50:18.637Z,650057.889624993,5903071.55577476,3,1347.67858886719,3865.7177734375,-1808.54931640625,650007.951496005,5903094.43981662
14,31001003206,3206,1693194642.636,2023-08-28T03:50:42.636Z,650054.21323695,5903071.55577476,3,1249.93090820313,3938.90209960938,-1842.61596679688,650076.566173042,5903008.89208608
15,31001003206,3206,1693194674.634,2023-08-28T03:51:14.634Z,650032.44482595,5903071.55577476,3,752.545959472656,2343.50366210938,-1019.35583496094,650018.380964472,5903091.34118857
16,31001003206,3206,1693194690.633,2023-08-28T03:51:30.633Z,650053.786927454,5903071.55577476,3,1357.33898925781,4000.69897460938,-2101.41772460938,650067.294832669,5903071.55577476
17,31001003206,3206,1693194898.623,2023-08-28T03:54:58.623Z,650032.44482595,5903079.0210869,3,954.678344726562,2852.0576171875,-1358.17175292969,650032.44482595,5903101.05635533
19,31001003206,3206,1693194914.622,2023-08-28T03:55:14.622Z,650032.44482595,5903079.0210869,3,809.458923339844,2475.04223632813,-1154.64916992188,650054.21323695,5903046.11731807
20,31001003206,3206,1693194922.622,2023-08-28T03:55:22.622Z,650032.44482595,5903079.0210869,3,928.257202148438,2535.10766601563,-1298.46545410156,650024.039315273,5903087.46985977
21,31001003206,3206,1693194930.622,2023-08-28T03:55:30.622Z,650032.44482595,5903079.0210869,3,1045.72058105469,2827.33081054688,-1479.6728515625,650053.786927454,5903007.77544852
22,31001003206,3206,1693195122.619,2023-08-28T03:58:42.619Z,650032.44482595,5903079.0210869,3,822.17578125,2572.7060546875,-1109.86572265625,650023.086267864,5903079.0210869
23,31001003206,3206,1693195146.617,2023-08-28T03:59:06.617Z,650053.311230643,5903037.8567909,3,1146.55078125,3033.28076171875,-1596.42834472656,650012.789198332,5903109.32631959
24,31001003206,3206,1693195162.617,2023-08-28T03:59:22.617Z,650053.311230643,5903037.8567909,3,1170.84143066406,3252.88159179688,-1692.18127441406,650053.311230643,5903037.8567909
25,31001003206,3206,1693195186.616,2023-08-28T03:59:46.616Z,650062.722833826,5903035.66249324,3,1083.38671875,3243.56860351563,-1707.77551269531,650083.573506217,5903018.74947043
26,31001003206,3206,1693195194.617,2023-08-28T03:59:54.617Z,650083.573506217,5903018.74947043,3,812.453552246094,2375.74340820313,-1200.40686035156,650062.722833826,5903035.66249324
27,31001003206,3206,1693195202.617,2023-08-28T04:00:02.617Z,650191.930888151,5902706.72528256,3,104.300003051758,284.818756103516,128.305480957031,650200.205878465,5902609.56039992
28,31001003206,3206,1693195210.618,2023-08-28T04:00:10.618Z,650199.155569786,5902641.93820261,3,67.3286743164063,3121.15209960938,-148.723587036133,650202.813283308,5902706.72528256
29,31001003206,3206,1693195218.619,2023-08-28T04:00:18.619Z,650199.155569786,5902641.93820261,3,95.2914352416992,430.865356445313,147.651016235352,650191.930888151,5902629.63969336
30,31001003206,3206,1693195226.619,2023-08-28T04:00:26.619Z,650199.155569786,5902641.93820261,3,73.4776763916016,437.680480957031,138.813522338867,650199.155569786,5902629.47361971
31,31001003206,3206,1693195250.62,2023-08-28T04:00:50.620Z,650199.155569786,5902641.93820261,3,103.081359863281,593.986450195313,165.317535400391,650194.656636675,5902641.93820261
32,31001003206,3206,1693195450.609,2023-08-28T04:04:10.609Z,650202.103249994,5902653.16724373,3,137.656372070313,1080.35559082031,201.120193481445,650203.349797764,5902663.39090741
33,31001003206,3206,1693195458.608,2023-08-28T04:04:18.608Z,650203.349797764,5902653.16724373,3,110.835624694824,1978.90380859375,96.7703399658203,650210.019577061,5902692.73610766
