posID,TAG,tag,TIME,time,X,Y,NBS,VARX,VARY,COVXY,X_raw,Y_raw
1,31001003201,3201,1693173610.358,2023-08-27T22:00:10.358Z,650978.392489151,5902971.02169644,3,25.8346862792969,555.931640625,105.761611938477,650978.392489151,5902971.02169644
2,31001003201,3201,1693174810.31,2023-08-27T22:20:10.310Z,650978.392489151,5902971.02169644,3,29.2631034851074,638.764099121094,122.446395874023,650959.267096388,5903005.92703551
3,31001003201,3201,1693176914.246,2023-08-27T22:55:14.246Z,650978.392489151,5902966.75846709,5,9.8026647567749,176.528945922852,32.8102569580078,650976.584433153,5902966.75846709
4,31001003201,3201,1693177114.235,2023-08-27T22:58:34.235Z,650978.856903106,5902963.50816297,3,146.168441772461,2747.4033203125,603.174743652344,650980.831433604,5902946.81461444
5,31001003201,3201,1693177538.216,2023-08-27T23:05:38.216Z,650980.831433604,5902947.85066074,3,25.1034526824951,515.998779296875,107.132041931152,650978.856903106,5902947.85066074
6,31001003201,3201,1693178458.195,2023-08-27T23:20:58.195Z,650983.366011316,5902946.81461444,3,36.1813926696777,597.925659179688,129.443054199219,650987.945152986,5902963.50816297
7,31001003201,3201,1693179338.164,2023-08-27T23:35:38.164Z,650987.945152986,5902939.87827449,3,142.370101928711,2709.91821289063,597.878662109375,650983.366011316,5902939.87827449
8,31001003201,3201,1693180322.127,2023-08-27T23:52:02.127Z,650996.528282038,5902939.87827449,3,168.970458984375,2417.87231445313,602.899597167969,650996.528282038,5902866.61606016
9,31001003201,3201,1693180338.126,2023-08-27T23:52:18.126Z,651003.735687219,5902937.56408269,3,128.025970458984,1983.63305664063,466.938507080078,651007.790269612,5902937.56408269
10,31001003201,3201,1693180354.124,2023-08-27T23:52:34.124Z,651007.790269612,5902937.56408269,3,174.304550170898,2238.80200195313,539.793701171875,651009.100069129,5902949.64393061
11,31001003201,3201,1693181146.094,2023-08-28T00:05:46.094Z,651009.100069129,5902937.56408269,3,110.562515258789,1763.77062988281,433.430603027344,651003.735687219,5902881.22170766
12,31001003201,3201,1693183090.055,2023-08-28T00:38:10.055Z,651039.442082853,5902940.92545813,3,18.1369819641113,309.912994384766,68.4023208618164,651057.589127143,5902992.57876596
13,31001003201,3201,1693183098.054,2023-08-28T00:38:18.054Z,651051.855733321,5902940.92545813,3,25.3839111328125,408.951934814453,89.7142944335938,651039.442082853,5902932.34219368
14,31001003201,3201,1693183890.014,2023-08-28T00:51:30.014Z,651051.855733321,5902940.92545813,3,103.599746704102,1515.89038085938,380.766448974609,651063.408726134,5902946.46104639
15,31001003201,3201,1693184090.008,2023-08-28T00:54:50.008Z,651051.855733321,5902940.92545813,3,205.132919311523,3120.53149414063,791.916259765625,651070.742541926,5902940.92545813
16,31001003201,3201,1693184825.994,2023-08-28T01:07:05.994Z,651051.855733321,5902946.46104639,3,152.426910400391,2025.35754394531,521.899108886719,651023.10612934,5902868.29843112
17,31001003201,3201,1693184849.993,2023-08-28T01:07:29.993Z,651039.807880115,5902949.95399372,3,101.500556945801,1702.01879882813,399.17041015625,651051.855733321,5902976.99368359
18,31001003201,3201,1693184961.992,2023-08-28T01:09:21.992Z,651035.182284155,5902960.89450623,3,166.849685668945,2674.4765625,633.682189941406,651039.807880115,5902970.8837316
19,31001003201,3201,1693185105.989,2023-08-28T01:11:45.989Z,651035.182284155,5902960.89450623,3,11.1849136352539,180.06608581543,34.1874885559082,651035.182284155,5902949.95399372
20,31001003201,3201,1693185929.957,2023-08-28T01:25:29.957Z,650998.133774137,5902960.89450623,3,179.924285888672,406.923522949219,-77.2668685913086,650970.414392063,5902979.74594583
21,31001003201,3201,1693186097.956,2023-08-28T01:28:17.956Z,650997.109632175,5902960.89450623,3,136.495162963867,2740.18041992188,602.954467773438,650998.133774137,5902957.21734736
22,31001003201,3201,1693186105.956,2023-08-28T01:28:25.956Z,650975.470696013,5902960.89450623,4,11.7827634811401,217.155426025391,43.9798469543457,650997.109632175,5902960.89450623
23,31001003201,3201,1693186433.953,2023-08-28T01:33:53.953Z,650975.470696013,5902958.21341798,3,134.647216796875,2304.82446289063,546.07373046875,650970.951902144,5902871.73245914
24,31001003201,3201,1693187401.914,2023-08-28T01:50:01.914Z,650970.951902144,5902959.27087359,3,175.870666503906,3914.75024414063,815.3291015625,650975.470696013,5902968.8191635
25,31001003201,3201,1693191001.776,2023-08-28T02:50:01.776Z,650930.294333944,5902958.66650534,3,219.663986206055,3942.11352539063,802.406372070313,650930.294333944,5902958.21341798
26,31001003201,3201,1693195209.593,2023-08-28T04:00:09.593Z,650563.816124913,5902958.66650534,3,23.3088607788086,3863.34423828125,18.779857635498,650563.816124913,5902977.87222016
