posID,TAG,tag,TIME,time,X,Y,NBS,VARX,VARY,COVXY,X_raw,Y_raw
3,31001003232,3232,1693174910.737,2023-08-27T22:21:50.737Z,650384.540192583,5902750.19701952,3,55.8825836181641,4861.0517578125,-149.008193969727,650466.606322007,5902926.6412965
4,31001003232,3232,1693179124.355,2023-08-27T23:32:04.355Z,650384.540192583,5902750.19701952,3,129.863464355469,1658.70959472656,215.152435302734,650384.540192583,5902738.89897743
5,31001003232,3232,1693179340.346,2023-08-27T23:35:40.346Z,650384.540192583,5902750.19701952,3,86.6767501831055,1076.58874511719,70.828727722168,650399.461108582,5902818.39431423
6,31001003232,3232,1693179926.632,2023-08-27T23:45:26.632Z,650384.540192583,5902750.19701952,3,80.1276092529297,1778.73852539063,182.119247436523,650379.680089186,5902736.50237528
7,31001003232,3232,1693183053.67,2023-08-28T00:37:33.670Z,650399.461108582,5902818.39431423,3,126.24471282959,1499.46923828125,169.499282836914,650365.824113812,5902750.19701952
10,31001003232,3232,1693192960.024,2023-08-28T03:22:40.024Z,650606.94611548,5902937.57013516,3,6.82191944122315,533.576721191406,24.5191173553467,650607.343303748,5902945.00997394
11,31001003232,3232,1693192968.023,2023-08-28T03:22:48.023Z,650607.343303748,5902943.50238547,3,5.7149863243103,541.131164550781,25.7386131286621,650606.94611548,5902937.57013516
12,31001003232,3232,1693192976.023,2023-08-28T03:22:56.023Z,650607.997555336,5902945.00997394,3,8.90955543518066,587.6259765625,18.924596786499,650608.235853774,5902974.18377792
13,31001003232,3232,1693192984.022,2023-08-28T03:23:04.022Z,650608.235853774,5902945.00997394,3,5.30693101882935,404.899139404297,14.5709819793701,650611.346398606,5902964.86064112
14,31001003232,3232,1693192992.022,2023-08-28T03:23:12.022Z,650608.727164953,5902945.00997394,3,9.92403697967529,840.193176269531,48.1195373535156,650607.997555336,5902926.85806478
15,31001003232,3232,1693193000.021,2023-08-28T03:23:20.021Z,650608.727164953,5902943.50238547,3,11.2457847595215,1269.29541015625,59.9441337585449,650611.086092259,5902943.50238547
16,31001003232,3232,1693193008.021,2023-08-28T03:23:28.021Z,650608.727164953,5902951.12013007,3,29.1987476348877,2493.72387695313,49.2569694519043,650613.687757909,5903024.5950468
17,31001003232,3232,1693193016.021,2023-08-28T03:23:36.021Z,650608.727164953,5902943.50238547,3,30.5585536956787,3012.52099609375,141.055313110352,650608.727164953,5902953.72771898
